gene1_Label	gene1_start	gene1_end	gene1_reference	Atf1_Transcription_Factor1_Label	Atf1_Transcription_Factor167_Offset
gene-LOC100577773	6526284	6526899	NC_037640.1	Atf1_3870	49
gene-LOC413341	6875297	6896396	NC_037640.1	Atf1_3868	62
gene-LOC413341	6875297	6896396	NC_037640.1	Atf1_3869	69
gene-LOC551745	7605525	7608850	NC_037640.1	Atf1_3860	53
gene-LOC107964181	6319639	6356991	NC_037640.1	Atf1_3871	73
gene-LOC113218704	6890530	6890660	NC_037640.1	Atf1_3866	23
gene-LOC113218704	6890530	6890660	NC_037640.1	Atf1_3867	-13
gene-LOC113218644	6210483	6211083	NC_037640.1	Atf1_3873	76
gene-LOC102654622	7099362	7100664	NC_037640.1	Atf1_3863	27
gene-LOC102654622	7099362	7100664	NC_037640.1	Atf1_3864	32
gene-LOC550964	6325722	6350905	NC_037640.1	Atf1_3872	15
gene-LOC552147	6921140	6923130	NC_037640.1	Atf1_3865	-97
gene-LOC409642	8047297	8054825	NC_037640.1	Atf1_3853	4
gene-LOC552571	8126654	8131347	NC_037640.1	Atf1_3848	51
gene-LOC552571	8126654	8131347	NC_037640.1	Atf1_3849	83
gene-LOC413997	8131331	8132637	NC_037640.1	Atf1_3847	-17
gene-LOC411903	7801499	7806584	NC_037640.1	Atf1_3857	-60
gene-LOC412929	7785463	7795358	NC_037640.1	Atf1_3858	98
gene-LOC100578314	7617445	7740141	NC_037640.1	Atf1_3859	-48
gene-LOC409255	8146324	8152411	NC_037640.1	Atf1_3845	61
gene-LOC552590	8133820	8136011	NC_037640.1	Atf1_3846	47
gene-LOC410027	7812187	7814494	NC_037640.1	Atf1_3856	50
gene-LOC552510	8109163	8112973	NC_037640.1	Atf1_3852	-62
gene-LOC724343	8124513	8125430	NC_037640.1	Atf1_3850	-68
gene-LOC724343	8124513	8125430	NC_037640.1	Atf1_3851	-58
gene-LOC724188	8045291	8046498	NC_037640.1	Atf1_3854	-6
gene-LOC724188	8045291	8046498	NC_037640.1	Atf1_3855	64
gene-LOC413404	8250818	8254807	NC_037640.1	Atf1_3836	-88
gene-LOC725326	8371350	8373536	NC_037640.1	Atf1_3829	-72
gene-LOC725326	8371350	8373536	NC_037640.1	Atf1_3830	66
gene-LOC102656384	8371035	8371718	NC_037640.1	Atf1_3831	47
gene-LOC411376	8191996	8195709	NC_037640.1	Atf1_3839	19
gene-LOC550991	8202123	8205704	NC_037640.1	Atf1_3838	66
gene-LOC411930	8180244	8191464	NC_037640.1	Atf1_3840	21
gene-LOC411930	8180244	8191464	NC_037640.1	Atf1_3841	57
gene-LOC411930	8180244	8191464	NC_037640.1	Atf1_3842	26
gene-LOC552093	8206059	8207826	NC_037640.1	Atf1_3837	40
gene-LOC413889	8285665	8287672	NC_037640.1	Atf1_3834	41
gene-LOC408741	8397995	8634817	NC_037640.1	Atf1_3823	-88
gene-LOC408741	8397995	8634817	NC_037640.1	Atf1_3824	-49
gene-LOC408741	8397995	8634817	NC_037640.1	Atf1_3825	-39
gene-LOC725474	8393125	8397763	NC_037640.1	Atf1_3828	-80
gene-LOC411931	8176648	8178705	NC_037640.1	Atf1_3843	28
gene-LOC411931	8176648	8178705	NC_037640.1	Atf1_3844	-29
gene-LOC409295	8287451	8289261	NC_037640.1	Atf1_3833	-22
gene-LOC409965	8273102	8284444	NC_037640.1	Atf1_3835	-43
gene-LOC551169	8345404	8347384	NC_037640.1	Atf1_3832	78
gene-LOC100578888	8635099	8642941	NC_037640.1	Atf1_3820	86
gene-LOC100578888	8635099	8642941	NC_037640.1	Atf1_3821	-8
gene-LOC100578888	8635099	8642941	NC_037640.1	Atf1_3822	-71
gene-LOC113218634	9321352	9330159	NC_037640.1	Atf1_3818	88
gene-LOC113218634	9321352	9330159	NC_037640.1	Atf1_3819	49
gene-LOC724885	9937321	10035651	NC_037640.1	Atf1_3805	70
gene-LOC100577574	9932946	9937168	NC_037640.1	Atf1_3806	-34
gene-LOC551744	9918350	9923596	NC_037640.1	Atf1_3807	46
gene-LOC726042	9361198	9362189	NC_037640.1	Atf1_3817	-89
gene-LOC113218636	9372011	9376456	NC_037640.1	Atf1_3815	-50
gene-LOC100577293	9846618	9848006	NC_037640.1	Atf1_3811	-16
gene-LOC100577293	9846618	9848006	NC_037640.1	Atf1_3812	50
gene-LOC551896	9854227	9856346	NC_037640.1	Atf1_3809	27
gene-LOC724214	9839242	9843758	NC_037640.1	Atf1_3813	89
gene-LOC410094	10138005	10147363	NC_037640.1	Atf1_3799	-69
gene-LOC410094	10138005	10147363	NC_037640.1	Atf1_3800	-21
gene-LOC413829	10053869	10140657	NC_037640.1	Atf1_3801	69
gene-LOC413089	10047317	10053533	NC_037640.1	Atf1_3802	-82
gene-LOC413089	10047317	10053533	NC_037640.1	Atf1_3803	78
gene-LOC409906	9848225	9853911	NC_037640.1	Atf1_3810	32
gene-LOC551827	9865123	9867310	NC_037640.1	Atf1_3808	-14
gene-LOC100577224	9366239	9371084	NC_037640.1	Atf1_3816	81
gene-LOC113218642	10015105	10016264	NC_037640.1	Atf1_3804	12
gene-LOC726158	9439208	9444979	NC_037640.1	Atf1_3814	-8
gene-LOC552021	10671433	10675397	NC_037640.1	Atf1_3792	-21
gene-LOC102655282	10274978	10277097	NC_037640.1	Atf1_3795	29
gene-LOC410117	10638467	10653437	NC_037640.1	Atf1_3793	70
gene-LOC113218657	10643567	10644848	NC_037640.1	Atf1_3794	22
gene-LOC725400	10246958	10253406	NC_037640.1	Atf1_3796	84
gene-LOC725122	10160095	10166954	NC_037640.1	Atf1_3798	-65
gene-LOC412256	10222829	10238715	NC_037640.1	Atf1_3797	-38
gene-LOC413791	10683574	10723075	NC_037640.1	Atf1_3790	47
gene-LOC409856	10728998	10819043	NC_037640.1	Atf1_3789	75
gene-LOC412924	11088678	11093939	NC_037640.1	Atf1_3784	77
gene-LOC726043	10819111	10820593	NC_037640.1	Atf1_3787	-81
gene-LOC726043	10819111	10820593	NC_037640.1	Atf1_3788	-78
gene-LOC411613	10675353	10682716	NC_037640.1	Atf1_3791	67
gene-LOC551826	11060571	11083852	NC_037640.1	Atf1_3785	27
gene-LOC551826	11060571	11083852	NC_037640.1	Atf1_3786	86
gene-LOC113218619	12013611	12016358	NC_037640.1	Atf1_3767	-80
gene-LOC113218701	11137560	11137709	NC_037640.1	Atf1_3783	-54
gene-LOC100577890	11858692	11861291	NC_037640.1	Atf1_3770	-29
gene-LOC410923	11648659	11670243	NC_037640.1	Atf1_3780	24
gene-LOC410923	11648659	11670243	NC_037640.1	Atf1_3781	36
gene-LOC410923	11648659	11670243	NC_037640.1	Atf1_3782	29
gene-LOC551408	11801870	11805506	NC_037640.1	Atf1_3774	40
gene-LOC551408	11801870	11805506	NC_037640.1	Atf1_3775	50
gene-LOC724558	11672601	11674151	NC_037640.1	Atf1_3779	47
gene-LOC550667	11700203	11708701	NC_037640.1	Atf1_3777	55
gene-LOC550667	11700203	11708701	NC_037640.1	Atf1_3778	16
gene-LOC725401	11988211	11989241	NC_037640.1	Atf1_3768	-34
gene-LOC102653649	11733763	11735202	NC_037640.1	Atf1_3776	-56
gene-LOC102654297	11827353	11828966	NC_037640.1	Atf1_3772	-14
gene-LOC102654297	11827353	11828966	NC_037640.1	Atf1_3773	18
gene-LOC408732	11855506	11858549	NC_037640.1	Atf1_3771	-63
gene-LOC107964154	12103112	12106425	NC_037640.1	Atf1_3766	96
gene-LOC102655453	12290431	12292272	NC_037640.1	Atf1_3752	89
gene-LOC408727	12682648	12686045	NC_037640.1	Atf1_3738	94
gene-LOC102654214	12548956	12550281	NC_037640.1	Atf1_3745	9
gene-LOC102654214	12548956	12550281	NC_037640.1	Atf1_3746	12
gene-LOC102654214	12548956	12550281	NC_037640.1	Atf1_3747	10
gene-LOC725831	12225205	12226864	NC_037640.1	Atf1_3756	87
gene-LOC725831	12225205	12226864	NC_037640.1	Atf1_3757	-55
gene-LOC725831	12225205	12226864	NC_037640.1	Atf1_3758	-64
gene-LOC413817	12559465	12573790	NC_037640.1	Atf1_3744	-47
gene-LOC102653826	12650649	12654378	NC_037640.1	Atf1_3740	0
gene-LOC102653826	12650649	12654378	NC_037640.1	Atf1_3741	-22
gene-LOC408730	12657832	12660512	NC_037640.1	Atf1_3739	-23
gene-LOC724166	12332284	12334370	NC_037640.1	Atf1_3749	-61
gene-LOC107964134	12578543	12579228	NC_037640.1	Atf1_3743	-59
gene-LOC107964214	12535369	12537565	NC_037640.1	Atf1_3748	61
gene-LOC410913	12735376	12742076	NC_037640.1	Atf1_3736	-31
gene-LOC410913	12735376	12742076	NC_037640.1	Atf1_3737	30
gene-LOC413805	12276408	12279333	NC_037640.1	Atf1_3753	-62
gene-LOC414002	12309587	12324627	NC_037640.1	Atf1_3750	0
gene-LOC102656068	12777939	12783711	NC_037640.1	Atf1_3735	-41
gene-LOC107964152	12164462	12164890	NC_037640.1	Atf1_3763	-27
gene-LOC107964152	12164462	12164890	NC_037640.1	Atf1_3764	96
gene-LOC107964152	12164462	12164890	NC_037640.1	Atf1_3765	-17
gene-LOC552811	12305614	12309602	NC_037640.1	Atf1_3751	-76
gene-LOC113218670	12265858	12268416	NC_037640.1	Atf1_3754	82
gene-LOC113218670	12265858	12268416	NC_037640.1	Atf1_3755	-88
gene-LOC113218669	12210095	12211413	NC_037640.1	Atf1_3759	-41
gene-LOC113218669	12210095	12211413	NC_037640.1	Atf1_3760	84
gene-LOC113218669	12210095	12211413	NC_037640.1	Atf1_3761	65
gene-LOC102656910	13170778	13174616	NC_037640.1	Atf1_3730	19
gene-LOC724167	13533974	13536871	NC_037640.1	Atf1_3718	-90
gene-LOC102656234	13050878	13053953	NC_037640.1	Atf1_3733	-61
gene-LOC725123	12863156	12867241	NC_037640.1	Atf1_3734	-100
gene-LOC412620	13303558	13306249	NC_037640.1	Atf1_3728	55
gene-LOC550745	13527276	13530430	NC_037640.1	Atf1_3719	-71
gene-LOC550745	13527276	13530430	NC_037640.1	Atf1_3720	-51
gene-LOC551917	13074568	13076906	NC_037640.1	Atf1_3731	-19
gene-LOC412869	13294008	13296427	NC_037640.1	Atf1_3729	-59
gene-LOC551540	13478319	13480073	NC_037640.1	Atf1_3724	-56
gene-LOC100577324	13433150	13435747	NC_037640.1	Atf1_3725	52
gene-LOC408721	13480774	13522126	NC_037640.1	Atf1_3721	72
gene-LOC408721	13480774	13522126	NC_037640.1	Atf1_3722	74
gene-LOC408721	13480774	13522126	NC_037640.1	Atf1_3723	-39
gene-LOC410906	13399194	13402808	NC_037640.1	Atf1_3726	64
gene-LOC408724	13355691	13358530	NC_037640.1	Atf1_3727	88
gene-LOC551701	13588913	13594031	NC_037640.1	Atf1_3717	49
gene-LOC411557	220940	408969	NC_037641.1	Atf1_3709	54
gene-LOC411557	220940	408969	NC_037641.1	Atf1_3710	57
gene-LOC726394	432957	443830	NC_037641.1	Atf1_3708	-22
gene-LOC100577580	765349	767785	NC_037641.1	Atf1_3704	-86
gene-LOC100577580	765349	767785	NC_037641.1	Atf1_3705	25
gene-LOC727140	143620	145167	NC_037641.1	Atf1_3713	-42
gene-LOC113218718	60715	61763	NC_037641.1	Atf1_3714	-52
gene-LOC552527	164897	168516	NC_037641.1	Atf1_3712	-99
gene-LOC726305	122	4840	NC_037641.1	Atf1_3715	1
gene-LOC726305	122	4840	NC_037641.1	Atf1_3716	-21
gene-LOC412234	768101	772821	NC_037641.1	Atf1_3702	-66
gene-LOC412234	768101	772821	NC_037641.1	Atf1_3703	-61
gene-LOC412036	169874	172338	NC_037641.1	Atf1_3711	12
gene-LOC102656821	545323	545983	NC_037641.1	Atf1_3706	15
gene-LOC102656821	545323	545983	NC_037641.1	Atf1_3707	-44
gene-LOC551746	2443235	2619174	NC_037641.1	Atf1_3689	51
gene-LOC107964351	2801965	2803957	NC_037641.1	Atf1_3684	-18
gene-LOC107964351	2801965	2803957	NC_037641.1	Atf1_3685	25
gene-LOC107964351	2801965	2803957	NC_037641.1	Atf1_3686	9
gene-LOC107965749	2169190	2184572	NC_037641.1	Atf1_3691	-84
gene-LOC113218726	2634130	2634967	NC_037641.1	Atf1_3687	-6
gene-LOC113218726	2634130	2634967	NC_037641.1	Atf1_3688	45
gene-LOC102656302	1753063	1754463	NC_037641.1	Atf1_3701	62
gene-LOC727166	2187985	2191642	NC_037641.1	Atf1_3690	3
gene-LOC726755	1922919	1971322	NC_037641.1	Atf1_3692	-83
gene-LOC102653946	3325529	3331411	NC_037641.1	Atf1_3671	69
gene-LOC102653946	3325529	3331411	NC_037641.1	Atf1_3672	-73
gene-LOC113218725	3146613	3199924	NC_037641.1	Atf1_3675	-61
gene-LOC113218725	3146613	3199924	NC_037641.1	Atf1_3676	55
gene-LOC551173	3344851	3346273	NC_037641.1	Atf1_3670	-100
gene-LOC408766	2839246	2864699	NC_037641.1	Atf1_3677	-25
gene-LOC107964264	3321291	3324837	NC_037641.1	Atf1_3673	-10
gene-LOC100576765	3346707	3348017	NC_037641.1	Atf1_3669	-63
gene-LOC551629	2820753	2826117	NC_037641.1	Atf1_3680	5
gene-LOC551629	2820753	2826117	NC_037641.1	Atf1_3681	-73
gene-LOC551511	2836826	2839141	NC_037641.1	Atf1_3678	0
gene-LOC552451	2818768	2821477	NC_037641.1	Atf1_3682	26
gene-LOC551085	3351593	3352933	NC_037641.1	Atf1_3667	-9
gene-LOC412662	2813115	2818103	NC_037641.1	Atf1_3683	-74
gene-LOC726761	3149841	3292130	NC_037641.1	Atf1_3674	97
gene-LOC551599	2827401	2831403	NC_037641.1	Atf1_3679	-75
gene-LOC411533	3349435	3351282	NC_037641.1	Atf1_3668	67
gene-LOC412472	3721745	3724984	NC_037641.1	Atf1_3653	1
gene-LOC107964357	3404715	3407023	NC_037641.1	Atf1_3665	1
gene-LOC107964357	3404715	3407023	NC_037641.1	Atf1_3666	-24
gene-LOC100578188	3493260	3494228	NC_037641.1	Atf1_3661	64
gene-LOC550920	3415320	3418686	NC_037641.1	Atf1_3664	-77
gene-LOC727071	3725056	3727988	NC_037641.1	Atf1_3652	-27
gene-LOC412345	3717353	3718639	NC_037641.1	Atf1_3656	-47
gene-LOC727055	3716331	3717167	NC_037641.1	Atf1_3657	66
gene-LOC551775	3718654	3721394	NC_037641.1	Atf1_3654	-27
gene-LOC551775	3718654	3721394	NC_037641.1	Atf1_3655	51
gene-LOC550865	3418690	3425750	NC_037641.1	Atf1_3663	-33
gene-LOC100578006	3669423	3673002	NC_037641.1	Atf1_3660	81
gene-LOC107964334	3830178	3849658	NC_037641.1	Atf1_3651	-6
gene-LOC412471	3432608	3436942	NC_037641.1	Atf1_3662	-25
gene-LOC727027	3681966	3685470	NC_037641.1	Atf1_3659	-42
gene-LOC412130	3699953	3708030	NC_037641.1	Atf1_3658	93
gene-LOC724738	4832556	4836856	NC_037641.1	Atf1_3638	-60
gene-LOC724189	4740787	4752382	NC_037641.1	Atf1_3640	84
gene-LOC411054	4012156	4194448	NC_037641.1	Atf1_3650	77
gene-LOC100576476	4231187	4235724	NC_037641.1	Atf1_3647	-68
gene-LOC100578773	4811546	4812698	NC_037641.1	Atf1_3639	62
gene-LOC113218711	4451495	4456060	NC_037641.1	Atf1_3646	51
gene-LOC411052	4214892	4230640	NC_037641.1	Atf1_3648	17
gene-LOC113218740	4700907	4707745	NC_037641.1	Atf1_3643	81
gene-LOC411048	4630085	4781921	NC_037641.1	Atf1_3641	32
gene-LOC411048	4630085	4781921	NC_037641.1	Atf1_3642	90
gene-LOC113218748	4169259	4181015	NC_037641.1	Atf1_3649	-16
gene-LOC551257	5152030	5221820	NC_037641.1	Atf1_3634	-44
gene-LOC413399	5057624	5131172	NC_037641.1	Atf1_3635	-40
gene-LOC102656496	4997117	5005273	NC_037641.1	Atf1_3637	-67
gene-LOC408815	5220863	5227350	NC_037641.1	Atf1_3632	-44
gene-LOC408815	5220863	5227350	NC_037641.1	Atf1_3633	-41
gene-LOC411043	5227547	5230425	NC_037641.1	Atf1_3631	-81
gene-LOC102655898	5483913	5486057	NC_037641.1	Atf1_3617	-66
gene-LOC102655898	5483913	5486057	NC_037641.1	Atf1_3618	15
gene-LOC102655898	5483913	5486057	NC_037641.1	Atf1_3619	4
